"trait1","trait2","trait3","trait4"
0.0024978,0.0010693,0.16333,0.0029255
0.0024307,0.0010406,0.15897,0.0028472
0.0021268,0.00091023,0.13909,0.0024911
0.0021569,0.00092309,0.14103,0.0025265
0.002292,0.00098124,0.14985,0.0026847
0.0020685,0.00088563,0.13516,0.0024229
0.0023868,0.0010217,0.15602,0.0027957
0.0026736,0.0011447,0.1748,0.0031314
0.0031346,0.001343,0.20474,0.0036717
0.0030283,0.0012973,0.19777,0.0035471
0.0031834,0.0013636,0.20795,0.0037285
0.0035426,0.001516,0.23175,0.0041498
0.0020754,0.00088826,0.13558,0.0024311
0.0021758,0.00093168,0.14207,0.0025487
0.0038041,0.0016296,0.24886,0.0044564
0.0041239,0.0017663,0.26939,0.0048309
0.0029776,0.0012757,0.19441,0.0034878
0.0023434,0.0010033,0.15317,0.0027448
0.0027168,0.001164,0.17752,0.0031824
0.0024296,0.0010406,0.1587,0.0028459
0.0092823,0.0039718,0.60656,0.01087
0.0028387,0.0012149,0.1857,0.003325
0.0026419,0.0011318,0.17261,0.0030946
0.0033088,0.0014164,0.21629,0.0038752
0.0088747,0.0037999,0.58079,0.010393
0.0020485,0.00087695,0.13398,0.0023996
0.0030793,0.00132,0.20111,0.0036072
0.0088758,0.0038077,0.57842,0.010399
0.0020529,0.00087899,0.13429,0.0024046
0.0020531,0.00087904,0.1343,0.0024048
0.0020532,0.00087908,0.13431,0.0024049
0.0020976,0.00089803,0.1372,0.002457
0.0052404,0.0022453,0.34216,0.0061364
0.002098,0.00089814,0.13724,0.0024575
0.0020603,0.00088209,0.13474,0.0024132
0.0020503,0.00087783,0.13406,0.0024015
0.0036634,0.0015671,0.23947,0.0042913
0.0020514,0.00087813,0.13415,0.0024029
0.0022984,0.00098377,0.15034,0.0026922
0.0022542,0.0009652,0.1474,0.0026404
0.0020771,0.0008893,0.13584,0.002433
0.0021242,0.00090954,0.13887,0.0024882
0.0027823,0.0011919,0.18176,0.0032589
0.0039689,0.0016988,0.25931,0.0046487
0.0024583,0.0010523,0.16061,0.0028792
0.012895,0.0055164,0.8488,0.015109
0.0029153,0.0012476,0.19056,0.0034145
0.0036486,0.0015613,0.23856,0.0042737
0.0028842,0.0012344,0.18847,0.0033781
0.0057129,0.0024501,0.37345,0.0066921
0.0023952,0.0010253,0.15661,0.0028055
0.0021455,0.00091863,0.14022,0.0025129
0.002505,0.0010724,0.1638,0.0029339
0.0022705,0.0009717,0.14849,0.0026594
0.010701,0.0045717,0.69759,0.012525
0.0023095,0.00098919,0.15092,0.0027053
0.003247,0.0013904,0.21256,0.0038035
0.0023422,0.0010024,0.15311,0.0027435
0.0038862,0.0016655,0.25391,0.0045524
0.002311,0.00098931,0.15089,0.0027069
0.0023092,0.00098851,0.15078,0.0027047
0.0026527,0.0011361,0.17324,0.0031071
0.0024728,0.0010585,0.1616,0.0028963
0.0026698,0.0011437,0.1746,0.0031273
0.0024706,0.0010576,0.16145,0.0028938
0.0032039,0.0013716,0.20927,0.0037527
0.0023577,0.0010095,0.15403,0.0027616
0.002141,0.00091717,0.14001,0.0025078
0.0020874,0.00089353,0.13642,0.002445
0.0021273,0.00091052,0.13904,0.0024917
0.0022957,0.00098326,0.15019,0.0026891
0.0020912,0.00089516,0.13671,0.0024494
0.0036025,0.0015406,0.23557,0.0042203
0.0023093,0.00098923,0.1511,0.0027051
0.0021589,0.00092452,0.14116,0.002529
0.0024065,0.0010306,0.15733,0.0028191
0.0021132,0.00090512,0.1382,0.0024754
0.013395,0.0057607,0.86901,0.015689
0.002436,0.0010433,0.15925,0.0028532
0.0027274,0.0011681,0.17852,0.0031945
0.0023031,0.0009864,0.15053,0.0026976
0.005177,0.0022165,0.33774,0.0060649
0.0049228,0.002107,0.32121,0.0057677
0.0022507,0.00096378,0.14709,0.0026362
0.0022507,0.00096356,0.14706,0.0026362
0.0020676,0.00088553,0.13518,0.0024219
0.0024379,0.0010433,0.15933,0.0028555
0.0026856,0.0011497,0.17561,0.0031457
0.0027799,0.0011905,0.18185,0.0032561
0.0021407,0.00091641,0.14004,0.0025076
0.0025849,0.0011068,0.169,0.0030278
0.0026046,0.0011158,0.17026,0.0030508
0.0020616,0.00088285,0.13474,0.0024148
0.0023638,0.0010121,0.15446,0.0027689
0.0031667,0.0013546,0.20676,0.0037091
0.0020822,0.00089139,0.1362,0.0024389
0.0033249,0.001424,0.21735,0.0038945
0.00213,0.0009118,0.13927,0.002495
0.0022957,0.00098277,0.15006,0.002689
0.0021046,0.00090089,0.13749,0.002465
0.0023165,0.00099168,0.15131,0.0027135
0.0034807,0.0014899,0.22723,0.0040774
0.0023537,0.0010078,0.15392,0.0027567
0.0031299,0.0013395,0.20443,0.0036662
0.0021487,0.00091924,0.14054,0.0025165
0.0020498,0.00087741,0.134,0.0024008
0.0021153,0.00090529,0.13826,0.0024775
0.0021073,0.00090256,0.13775,0.0024684
0.0020677,0.00088517,0.13526,0.002422
0.00354,0.0015165,0.23156,0.0041473
0.0026476,0.0011328,0.17336,0.0031012
0.0025255,0.0010815,0.16508,0.002958
0.0025711,0.0011008,0.16797,0.0030117
0.0020935,0.00089601,0.13694,0.0024522
0.0027245,0.0011666,0.17816,0.0031912
0.0022837,0.00097765,0.14932,0.0026749
0.00422,0.0018065,0.27624,0.0049431
0.0030822,0.001319,0.20124,0.0036099
0.0022881,0.00098045,0.14927,0.00268
0.0022691,0.00097172,0.14831,0.0026578
0.004609,0.0019738,0.3014,0.0053983
0.0046169,0.0019771,0.30192,0.0054076
0.0021166,0.00090607,0.13836,0.0024792
0.0033567,0.0014376,0.21912,0.0039318
0.0033755,0.0014455,0.22052,0.0039541
0.0030918,0.0013247,0.20232,0.0036216
0.0036178,0.001549,0.23662,0.0042378
0.0028382,0.0012152,0.18523,0.0033243
0.0021049,0.00090111,0.13773,0.0024657
0.0025099,0.0010746,0.16408,0.00294
0.0027047,0.0011576,0.17673,0.0031681
0.0020502,0.00087734,0.13417,0.0024016
0.0022073,0.00094521,0.14421,0.0025857
0.002464,0.001055,0.1611,0.0028863
0.002549,0.0010915,0.16664,0.0029859
0.0020956,0.00089739,0.13701,0.0024548
0.002325,0.00099545,0.15198,0.0027234
0.0036886,0.0015782,0.24161,0.004321
0.0022426,0.00096029,0.14665,0.0026269
0.0022454,0.0009615,0.14682,0.0026301
0.0033257,0.0014249,0.21734,0.003896
0.0025218,0.0010797,0.16487,0.0029538
0.0025184,0.0010782,0.16466,0.0029498
0.0025139,0.0010763,0.16436,0.0029446
0.0022687,0.00097133,0.14821,0.0026573
0.0025181,0.0010781,0.16465,0.0029495
0.013329,0.0056987,0.86675,0.015609
0.0029153,0.0012479,0.1907,0.0034149
0.0025537,0.0010934,0.167,0.0029912
0.0025225,0.00108,0.16495,0.0029546
0.0025593,0.0010957,0.16737,0.0029977
0.0022496,0.000963,0.14707,0.002635
0.0022646,0.00096948,0.14804,0.0026525
0.0026692,0.0011435,0.17445,0.0031264
0.0036864,0.0015766,0.24093,0.0043181
0.0023996,0.0010273,0.15685,0.0028105
0.0020555,0.00087968,0.13432,0.0024077
0.002654,0.0011369,0.17341,0.0031085
0.0022437,0.00096049,0.14665,0.0026281
0.0022437,0.00096047,0.14664,0.002628
0.0021757,0.00093115,0.14226,0.0025484
0.0020983,0.00089833,0.13715,0.0024577
0.0021027,0.00089997,0.13745,0.0024629
0.0021038,0.00090042,0.13752,0.0024641
0.0028232,0.001209,0.18471,0.0033069
0.0029453,0.0012609,0.19233,0.0034501
0.0033781,0.001446,0.2207,0.0039564
0.0031903,0.0013654,0.2085,0.0037366
0.0020776,0.00088936,0.13582,0.0024337
0.0031173,0.001334,0.20376,0.0036511
0.0051938,0.0022256,0.33907,0.0060834
0.0031359,0.0013419,0.20495,0.003673
0.002061,0.00088227,0.13471,0.0024142
0.0020726,0.0008876,0.13548,0.0024278
0.0020595,0.00088204,0.13466,0.0024124
0.0031425,0.0013448,0.20537,0.0036806
0.0049139,0.002104,0.32066,0.0057566
0.0048181,0.002062,0.31446,0.0056442
0.0031511,0.0013495,0.2059,0.003691
0.002569,0.0010995,0.16796,0.0030092
0.0043226,0.0018498,0.28272,0.0050627
0.0021067,0.00090178,0.13769,0.0024675
0.0021518,0.00092149,0.14071,0.0025204
0.0023085,0.00098802,0.15074,0.002704
0.0022184,0.00094951,0.1449,0.0025985
0.0022175,0.0009491,0.14484,0.0025974
0.002056,0.00088025,0.13441,0.0024081
0.0021616,0.00092511,0.14118,0.002532
0.0021908,0.00093847,0.14326,0.0025661
0.0020573,0.00088074,0.13446,0.0024097
0.0034584,0.0014805,0.22634,0.0040508
0.0043557,0.0018646,0.28457,0.0051016
0.0025921,0.00111,0.16935,0.003036
0.0024453,0.0010465,0.15981,0.0028642
0.0024366,0.0010433,0.15917,0.0028539
0.0022887,0.00097994,0.14963,0.0026809
0.0022179,0.00094909,0.14495,0.0025977
0.0038925,0.0016657,0.25465,0.0045592
0.0028219,0.0012073,0.1843,0.003305
0.0031481,0.0013479,0.20588,0.0036875
0.0020599,0.0008819,0.13463,0.0024128
0.0033794,0.0014468,0.22082,0.0039585
0.027438,0.011777,1.801,0.032125
0.0034197,0.001464,0.22348,0.0040059
0.0021072,0.00090221,0.1377,0.0024682
0.0021569,0.00092332,0.14085,0.0025263
0.0042547,0.0018218,0.27837,0.0049835
0.0024671,0.0010558,0.16121,0.0028899
0.0042171,0.0018056,0.27597,0.0049395
0.002503,0.0010719,0.16368,0.0029318
0.0022964,0.00098344,0.15012,0.00269
0.002143,0.00091716,0.14006,0.0025102
0.0047356,0.0020281,0.30996,0.0055483
0.0030607,0.0013098,0.20008,0.0035849
0.0020549,0.00087956,0.13432,0.0024068
0.0021883,0.00093697,0.143,0.0025631
0.0029673,0.00127,0.19401,0.0034754
0.0020978,0.00089763,0.13707,0.0024572
0.0020551,0.00087962,0.13436,0.0024071
0.0020478,0.0008765,0.13391,0.0023986
0.002064,0.00088335,0.13498,0.0024175
0.0021239,0.00090891,0.13881,0.0024877
0.0026002,0.0011125,0.16981,0.0030455
0.0022526,0.00096446,0.14733,0.0026386
0.0055924,0.0023982,0.36637,0.0065501
0.0020634,0.0008831,0.13499,0.0024168
0.0032139,0.0013773,0.20992,0.0037648
0.0026863,0.0011499,0.17582,0.0031466
0.0020543,0.00087947,0.13429,0.0024063
0.0041344,0.0017712,0.26991,0.004842
0.0022211,0.00095083,0.14519,0.0026018
0.0035954,0.0015398,0.23468,0.0042111
0.0023738,0.0010163,0.15496,0.00278
0.0027195,0.0011639,0.17781,0.0031858
0.0024855,0.0010643,0.16241,0.0029113
0.0022662,0.0009703,0.14815,0.0026546
0.0023782,0.0010182,0.15523,0.0027851
0.0020456,0.00087589,0.13368,0.0023958
0.0030423,0.0013027,0.19877,0.0035636
0.0037091,0.0015895,0.24308,0.0043441
0.0022482,0.00096256,0.14695,0.0026333
0.00205,0.00087767,0.13407,0.0024012
0.0034285,0.001468,0.22405,0.004016
0.0032485,0.0013906,0.21227,0.0038052
0.0024225,0.001037,0.15833,0.0028374
0.0029443,0.0012608,0.19249,0.0034488
0.0020454,0.0008753,0.13367,0.0023957
0.0021183,0.00090691,0.13843,0.0024811
0.0024818,0.0010626,0.16233,0.0029071
0.0024697,0.0010575,0.16141,0.0028926
0.0066647,0.0028574,0.43399,0.0078061
0.0028533,0.001221,0.18639,0.0033419
0.003061,0.0013095,0.20014,0.003585
0.0031767,0.0013588,0.20766,0.0037205
0.0021362,0.00091507,0.13974,0.0025022
0.0021206,0.00090812,0.13864,0.002484
0.0021471,0.00091926,0.14016,0.0025149
0.0023606,0.0010107,0.15429,0.0027652
0.0028705,0.0012283,0.18761,0.0033622
0.0021415,0.00091685,0.13982,0.0025085
0.0030674,0.0013133,0.20052,0.0035928
0.0024921,0.0010666,0.16282,0.0029191
0.002519,0.0010787,0.16474,0.0029509
0.002303,0.00098592,0.15059,0.0026975
0.0024658,0.0010551,0.16113,0.0028883
0.0020495,0.00087705,0.1341,0.0024008
0.0026121,0.0011187,0.17084,0.0030595
0.007538,0.0032267,0.49213,0.0088296
0.0048598,0.0020812,0.3171,0.005692
0.0020999,0.00089897,0.13725,0.0024597
0.0025975,0.0011119,0.16985,0.0030427
0.0022188,0.00094985,0.14497,0.0025988
0.0039097,0.0016745,0.25599,0.0045787
0.0042439,0.0018174,0.27809,0.00497
0.002062,0.00088268,0.1348,0.0024152
0.0024487,0.001048,0.16015,0.0028683
0.0031605,0.0013537,0.20671,0.0037018
0.0022424,0.00096051,0.14661,0.0026265
0.0029975,0.0012824,0.19584,0.003511
0.0022985,0.00098398,0.15032,0.0026924
0.0020675,0.00088549,0.13518,0.0024216
0.0024627,0.0010545,0.16109,0.0028845
0.0022429,0.00096032,0.14667,0.0026268
0.004182,0.0017906,0.27366,0.0048993
0.0021399,0.00091612,0.13988,0.0025064
0.0021379,0.0009153,0.13976,0.0025041
0.0022552,0.0009655,0.14743,0.0026415
0.0021818,0.0009337,0.14276,0.0025556
0.022557,0.0096173,1.4788,0.026426
0.0020537,0.0008788,0.13424,0.0024053
0.0021671,0.00092764,0.14188,0.0025385
0.0025505,0.001092,0.16682,0.0029873
0.0054602,0.0023357,0.35742,0.0063955
0.0054586,0.002335,0.35731,0.0063937
0.0096194,0.0041132,0.62801,0.01127
0.0027571,0.0011797,0.18033,0.0032293
0.0020913,0.00089531,0.13677,0.0024497
0.002344,0.001004,0.15328,0.002746
0.01047,0.004483,0.68405,0.012263
0.0022713,0.00097261,0.14852,0.0026607
0.0027126,0.0011605,0.17755,0.0031774
0.0020924,0.00089563,0.13677,0.0024511
0.002053,0.00087897,0.1343,0.0024047
0.0030514,0.0013072,0.19934,0.0035743
0.0021895,0.00093705,0.14304,0.0025645
0.0020816,0.00089111,0.13611,0.0024381
0.0039666,0.0016982,0.25912,0.0046463
0.0021523,0.0009216,0.14072,0.0025209
0.0020749,0.00088835,0.13562,0.0024303
0.0021354,0.00091424,0.13959,0.0025011
0.002535,0.0010861,0.16576,0.0029695
0.0029367,0.0012567,0.1918,0.0034399
0.0073782,0.003157,0.48328,0.0086424
0.0056725,0.0024292,0.37026,0.0066451
0.0020817,0.00089103,0.13611,0.0024382
0.0036202,0.00155,0.23648,0.0042404
0.014024,0.0060108,0.91929,0.016422
0.014024,0.0060108,0.91929,0.016422
0.0025134,0.0010768,0.16437,0.0029442
0.0025143,0.001077,0.16435,0.0029452
0.0020945,0.00089656,0.13691,0.0024532
0.0020572,0.00088056,0.13452,0.0024095
0.0039581,0.001693,0.25848,0.0046359
0.0020562,0.00088023,0.13451,0.0024084
0.0020553,0.00087999,0.13442,0.0024073
0.0020538,0.00087922,0.13435,0.0024057
0.0042213,0.0018069,0.27539,0.0049442
0.0026381,0.0011296,0.17241,0.0030901
0.0023846,0.0010209,0.15582,0.0027932
0.0022236,0.00095212,0.14537,0.0026046
0.0021397,0.00091597,0.13985,0.0025063
0.0024378,0.0010441,0.15935,0.0028556
0.0021548,0.00092265,0.14083,0.0025239
0.0036412,0.0015581,0.23801,0.0042651
0.0021398,0.00091623,0.1398,0.0025065
0.0020797,0.00089016,0.13594,0.0024361
0.0021683,0.00092825,0.14172,0.0025397
0.0020561,0.00087992,0.1344,0.0024084
0.0020541,0.00087944,0.1343,0.002406
0.0020564,0.00088044,0.13445,0.0024087
0.0032075,0.0013734,0.20941,0.003757
0.0022677,0.00097083,0.14827,0.0026562
0.002124,0.00090995,0.13878,0.0024878
0.0027521,0.0011795,0.17992,0.0032237
0.0021033,0.00090067,0.13752,0.0024636
0.0025559,0.0010944,0.1672,0.0029939
0.002064,0.00088379,0.13487,0.0024176
0.0032342,0.0013846,0.2115,0.0037888
0.0024204,0.0010364,0.15834,0.002835
0.0022714,0.00097238,0.14846,0.0026604
0.0020573,0.00088039,0.13446,0.0024097
0.0020936,0.00089626,0.13679,0.0024523
0.0020933,0.00089612,0.13677,0.002452
0.0020504,0.00087751,0.13397,0.0024016
0.0023464,0.0010038,0.15337,0.0027483
0.0036159,0.0015471,0.23631,0.0042358
0.0029323,0.0012548,0.19135,0.0034345
0.0022198,0.00095045,0.14508,0.0026001
0.0020642,0.00088335,0.13488,0.0024177
0.0044021,0.0018836,0.28749,0.0051564
0.0044088,0.0018865,0.28791,0.0051642
0.002052,0.00087835,0.13397,0.0024036
0.003838,0.0016431,0.25056,0.0044952
0.0020537,0.00087909,0.13408,0.0024056
0.0022549,0.00096605,0.14732,0.0026412
0.0062579,0.0026811,0.40852,0.0073288
0.0020863,0.00089326,0.1363,0.0024436
0.0030532,0.0013063,0.19986,0.0035764
0.0021876,0.00093644,0.14302,0.0025624
0.0020896,0.00089446,0.13659,0.0024475
0.0024344,0.0010419,0.1592,0.0028513
0.0032658,0.0013976,0.21347,0.0038246
0.0027639,0.0011835,0.18073,0.0032377
0.0050768,0.0021732,0.33219,0.0059469
0.003304,0.0014156,0.21611,0.0038708
0.0024998,0.0010699,0.16348,0.002928
0.0030553,0.0013077,0.19994,0.0035787
0.0026301,0.0011263,0.17191,0.0030808
0.0020953,0.00089699,0.13694,0.0024543
0.0021097,0.00090304,0.13792,0.0024712
0.0023158,0.00099124,0.15135,0.0027126
0.0034445,0.0014736,0.22514,0.0040341
0.0025963,0.0011109,0.16976,0.0030411
0.0025957,0.0011107,0.16972,0.0030403
0.0022399,0.00095851,0.14639,0.0026235
0.0020925,0.00089559,0.13679,0.002451
0.0023843,0.0010202,0.1559,0.0027928
0.0021903,0.00093736,0.14327,0.0025655
0.0028231,0.0012079,0.18451,0.0033066
0.0022912,0.00098093,0.14992,0.0026835
0.0022696,0.00097155,0.14839,0.0026586
0.0023079,0.00098834,0.15092,0.0027032
0.0022752,0.00097463,0.14872,0.002665
0.0025116,0.0010751,0.16416,0.002942
0.0020733,0.00088741,0.13542,0.0024282
0.0023561,0.0010086,0.15401,0.0027593
0.0023818,0.0010197,0.15569,0.0027895
0.0023823,0.0010199,0.15572,0.00279
0.0031542,0.0013494,0.20602,0.0036945
0.0031474,0.0013464,0.20557,0.0036865
0.0031449,0.0013453,0.20541,0.0036835
0.0047477,0.0020356,0.31045,0.0055604
0.0031314,0.0013395,0.20449,0.0036677
0.0030549,0.0013071,0.19956,0.0035782
0.0032365,0.0013866,0.21173,0.0037914
0.0030572,0.0013081,0.19972,0.0035808
0.0020692,0.00088606,0.13516,0.0024236
0.0028777,0.0012309,0.18817,0.0033705
0.0030274,0.001295,0.19796,0.0035457
0.0026362,0.0011284,0.17193,0.0030876
0.0021074,0.000902,0.13765,0.0024684
0.0024306,0.0010411,0.15878,0.002847
0.0020715,0.00088746,0.13528,0.0024266
0.003812,0.0016327,0.24896,0.0044655
0.0022741,0.00097363,0.14855,0.0026638
0.0022745,0.00097382,0.14857,0.0026643
0.0020624,0.00088323,0.13468,0.0024157
0.0024043,0.0010294,0.15706,0.0028164
0.0022742,0.00097367,0.14853,0.0026639
0.013548,0.0058033,0.88404,0.015865
0.0022617,0.00096828,0.14775,0.0026493
0.0020701,0.00088653,0.13521,0.0024247
0.018234,0.0078027,1.1957,0.021354
0.0027761,0.0011892,0.1817,0.0032518
0.0021196,0.00090749,0.13858,0.0024828
0.0021156,0.00090577,0.13832,0.0024781
0.0023631,0.001012,0.15454,0.0027679
0.0021483,0.00091945,0.14051,0.0025165
0.0025234,0.0010803,0.16488,0.0029558
0.0020833,0.00089173,0.13622,0.0024402
0.0020633,0.00088339,0.13485,0.0024168
0.0021458,0.00091871,0.1403,0.0025133
0.0028729,0.0012304,0.18816,0.0033647
0.0047333,0.0020256,0.30929,0.0055443
0.0037002,0.0015829,0.24194,0.004334
0.0020569,0.00088054,0.1345,0.0024092
0.0020558,0.0008801,0.13443,0.002408
0.002179,0.0009327,0.14258,0.0025522
0.0043686,0.0018687,0.2855,0.0051168
0.0021625,0.00092559,0.14136,0.0025328
0.0022406,0.00095902,0.14651,0.0026244
0.0021157,0.00090567,0.13832,0.0024782
0.0051624,0.0022101,0.33815,0.0060459
0.0020562,0.00088032,0.13437,0.0024086
0.0026075,0.0011162,0.17047,0.003054
0.0022978,0.00098358,0.15036,0.0026913
0.0020589,0.00088157,0.13462,0.0024116
0.002072,0.000887,0.13541,0.0024269
0.0023938,0.0010247,0.15662,0.002804
0.0023458,0.0010041,0.15346,0.0027478
0.0081184,0.0034799,0.53255,0.0095041
0.0023196,0.00099274,0.15172,0.0027168
0.0056036,0.0024012,0.3667,0.0065627
0.0023123,0.00098968,0.15128,0.0027083
0.0023108,0.00098907,0.15118,0.0027066
0.0020454,0.00087568,0.13374,0.0023958
0.0020522,0.00087842,0.13418,0.0024038
0.0076463,0.0032769,0.49971,0.0089585
0.0020707,0.00088645,0.13532,0.0024253
0.0020525,0.00087854,0.13419,0.0024041
0.0020525,0.00087856,0.1342,0.0024042
0.0020713,0.0008867,0.13536,0.0024261
0.0023134,0.00099019,0.15138,0.0027095
0.00216,0.00092459,0.14123,0.00253
0.002625,0.0011237,0.17172,0.0030745
0.0020463,0.00087615,0.13375,0.0023969
0.0021568,0.00092309,0.14089,0.0025263
0.0040151,0.0017185,0.26221,0.0047017
0.0029982,0.0012841,0.19636,0.0035118
0.0020871,0.00089347,0.13647,0.0024446
0.0031508,0.0013493,0.20624,0.0036907
0.0041553,0.0017791,0.27157,0.0048658
0.0021703,0.00092976,0.14187,0.0025421
0.048241,0.020523,3.188,0.056536
0.0031474,0.0013479,0.20596,0.0036861
0.0033835,0.0014475,0.22136,0.0039638
0.0022824,0.00097728,0.14914,0.0026734
0.0038006,0.0016263,0.24876,0.0044516
0.002416,0.0010342,0.15779,0.0028299
0.0047679,0.0020399,0.31211,0.0055849
0.0024157,0.0010342,0.15792,0.0028295
0.0020687,0.00088572,0.13522,0.0024233
0.0023307,0.00099842,0.15231,0.0027299
0.0020553,0.00088027,0.13441,0.0024074
0.0025175,0.0010776,0.1646,0.002949
0.0020694,0.00088639,0.13533,0.0024239
0.0025644,0.0010972,0.16768,0.0030039
0.0030411,0.001301,0.19867,0.0035619
0.002056,0.00088056,0.13455,0.0024081
0.0031162,0.0013352,0.2036,0.00365
0.0037058,0.0015866,0.24215,0.0043408
0.0021542,0.00092232,0.14093,0.0025231
0.0021611,0.00092579,0.14133,0.0025315
